product,rating,rating count,price,product url
"Furinno Just 3-Tier Turn-N-Tube End Table / Side Table / Night Stand / Bedside Table with Plastic Poles, 1-Pack, French Oak Grey/Black  ",4.5 out of 5 stars,"58,488  ",18.53,https://amazon.com/Furinno-11087GYW-BK-Turn-N-Tube-3-Tier/dp/B07FL6D1Z8/ref=sr_1_2?keywords=table&qid=1664960504&qu=eyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%3D%3D&sr=8-2
"COSCO Deluxe 6 foot x 30 inch Fold-in-Half Blow Molded Folding Table, Black  ",4.7 out of 5 stars,"15,487  ",88.76,https://amazon.com/Cosco-14678BLK1-Deluxe-Folding-Rectangle/dp/B00DOZTM3O/ref=sr_1_3?keywords=table&qid=1664960504&qu=eyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%3D%3D&sr=8-3
"FURINNO Simplistic Study Table, Espresso  ",4.2 out of 5 stars,"21,680  ",30.99,https://amazon.com/Furinno-14035EX-Study-Table-Espresso/dp/B00NIYX9LC/ref=sr_1_5?keywords=table&qid=1664960504&qu=eyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%3D%3D&sr=8-5
"Sauder North Avenue Coffee Table, Charter Oak finish  ",4.6 out of 5 stars,"3,589  ",69.99,https://amazon.com/Sauder-420275-North-Avenue-Coffee/dp/B01K6PLW4Q/ref=sr_1_6?keywords=table&qid=1664960504&qu=eyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%3D%3D&sr=8-6
"Christopher Knight Home Della Acacia Wood Dining Table, Natural Stained with Rustic Metal, 32.25 in x 69 in x 29.5 in  ",4.6 out of 5 stars,660  ,258.99,https://amazon.com/Daria-Natural-Stained-Acacia-Dining/dp/B01GP0FTZE/ref=sr_1_7?keywords=table&qid=1664960504&qu=eyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%3D%3D&sr=8-7
"Amazon Basics Classic TV Dinner Folding Trays with Storage Rack - 4-Pack, Black  ",4.4 out of 5 stars,"17,277  ",54.99,https://amazon.com/AmazonBasics-Classic-Dinner-Snack-Table/dp/B07MDJNF6R/ref=sr_1_8?keywords=table&qid=1664960504&qu=eyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%3D%3D&sr=8-8
"VASAGLE Folding Dining Table, Drop Leaf Extendable, for Small Spaces, Seats 2-4 People, Industrial, 33.3 x 30.7 x 30 Inches,Brown  ",4.6 out of 5 stars,167  ,125.99,https://amazon.com/VASAGLE-Dining-Table-UKDT077B01/dp/B08LYK1N18/ref=sr_1_9?keywords=table&qid=1664960504&qu=eyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%3D%3D&sr=8-9
"Furinno Simplistic Set of 2 End Table, French Oak Grey/Black  ",4.3 out of 5 stars,"37,569  ",37.79,https://amazon.com/FURINNO-Simplistic-Table-French-Black/dp/B07FMR8RM7/ref=sr_1_10?keywords=table&qid=1664960504&qu=eyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%3D%3D&sr=8-10
"Furinno Simplistic A Frame Computer Desk, Black/French Oak Grey  ",4.1 out of 5 stars,"23,408  ",38.21,https://amazon.com/Furinno-14054BK-GYW-Simplistic-Computer/dp/B00OR1KPL2/ref=sr_1_14?keywords=table&qid=1664960504&qu=eyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%3D%3D&sr=8-14
"VASAGLE 31.5-Inch Computer Writing Desk, Home Office Small Study Workstation, Industrial Style PC Laptop Table, Steel Frame, 31.5 inch, Rustic Brown + Black  ",4.5 out of 5 stars,89  ,47.78,https://amazon.com/VASAGLE-31-5-Inch-Workstation-Industrial-ULWD038B01/dp/B091GW9VXD/ref=sr_1_15?keywords=table&qid=1664960504&qu=eyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%3D%3D&sr=8-15
