product,rating,rating count,price,product url
Amazon Essentials Men's Lightweight Water-Resistant Packable Puffer Jacket  ,4.5 out of 5 stars,"20,540  ",33.9,https://amazon.com/sspa/click?ie=UTF8&spc=MTozMjIxNzcxOTI1NjU5NzI1OjE2NjQ5NTgzNjY6c3BfYXRmOjIwMDAxMTk5NjM4NjEzMTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FAmazon-Essentials-Lightweight-Water-Resistant-Packable%2Fdp%2FB07BN3XQ22%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1664958366%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-1-spons%26psc%3D1
Wrangler Authentics Men's Long Sleeve Quilted Lined Flannel Shirt Jacket with Hood  ,4.6 out of 5 stars,4.6 out of 5 stars ,30.99,https://amazon.com/Wrangler-Authentics-Quilted-Flannel-Eclipse/dp/B01L7B4V28/ref=sr_1_2?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-2
Amazon Essentials Women's Lightweight Water-Resistant Hooded Puffer Coat (Available in Plus Size)  ,4.3 out of 5 stars,"13,439  ",44.8,https://amazon.com/Amazon-Essentials-Lightweight-Water-Resistant-Packable/dp/B07BMP3DCT/ref=sr_1_4?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-4
DRI Duck Men's Cheyenne Jacket  ,4.7 out of 5 stars,"2,822  ",71.99,https://amazon.com/DRI-Duck-Cheyenne-Jacket-Field/dp/B003UD8JYS/ref=sr_1_8?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-8
Amazon Essentials Boys and Toddlers' Heavy-Weight Hooded Puffer Jacket Coat  ,4.8 out of 5 stars,"5,277  ",36.0,https://amazon.com/Amazon-Essentials-Little-Heavy-Weight-Hooded/dp/B07PWYB6LZ/ref=sr_1_9?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-9
Columbia Women's Heavenly Hooded Jacket  ,4.8 out of 5 stars,"3,334  ",69.0,https://amazon.com/Columbia-Womens-Heavenly-Hooded-Jacket/dp/B01MYU9QR7/ref=sr_1_10?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-10
"The Children's Place Baby Toddler & Baby and Toddler Boy Heavy 3 in 1 Winter Jacket, Wind Water-Resistant Shell, Fleece Inner  ",5.0 out of 5 stars,1  ,41.97,https://amazon.com/Childrens-Place-Toddler-Winter-Water-Resistant/dp/B09XC3B6MB/ref=sr_1_11?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-11
Amazon Essentials Boys and Toddlers' Light-Weight Water-Resistant Packable Hooded Puffer Coat  ,4.5 out of 5 stars,"6,087  ",37.6,https://amazon.com/Amazon-Essentials-Lightweight-Water-Resistant-Packable/dp/B0738HD59H/ref=sr_1_12?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-12
Amazon Essentials Men's Full-Zip Polar Fleece Jacket  ,4.5 out of 5 stars,"31,106  ",29.2,https://amazon.com/sspa/click?ie=UTF8&spc=MTozMjIxNzcxOTI1NjU5NzI1OjE2NjQ5NTgzNjY6c3BfbXRmOjIwMDAzOTQwMDQwNzMzMTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FAmazon-Essentials-Full-Zip-Fleece-Jacket%2Fdp%2FB073GD6ZZ7%2Fref%3Dsr_1_14_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1664958366%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-14-spons%26psc%3D1
Dickies Men's Flex Duck Shirt Jacket  ,4.4 out of 5 stars,127  ,47.29,https://amazon.com/sspa/click?ie=UTF8&spc=MTozMjIxNzcxOTI1NjU5NzI1OjE2NjQ5NTgzNjY6c3BfbXRmOjIwMDA5NzQ4MjAyMzk1MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FDickies-Shirt-Jacket-Slate-Medium%2Fdp%2FB08DJ89NFJ%2Fref%3Dsr_1_15_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1664958366%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-15-spons%26psc%3D1
Legendary Whitetails Men's Maplewood Hooded Shirt Jacket  ,4.6 out of 5 stars,"10,359  ",69.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTozMjIxNzcxOTI1NjU5NzI1OjE2NjQ5NTgzNjY6c3BfbXRmOjIwMDA4ODA4NzAyMjUxMTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FLegendary-Whitetails-Maplewood-Hooded-Jacket%2Fdp%2FB075ZGJPMF%2Fref%3Dsr_1_16_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1664958366%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-16-spons%26psc%3D1
Jack Wolfskin Women's Norrland 3-in-1 W Waterproof Insulated Jacket  ,4.5 out of 5 stars,170  ,149.29,https://amazon.com/sspa/click?ie=UTF8&spc=MTozMjIxNzcxOTI1NjU5NzI1OjE2NjQ5NTgzNjY6c3BfbXRmOjIwMDA2ODQxNjEzNDMzMTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FJack-Wolfskin-Norrland-Waterproof-Insulated%2Fdp%2FB07DMJ38XS%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1664958366%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-17-spons%26psc%3D1
